NOME,CPF,DATA_NASCIMENTO,DATA_CADASTRO,CURSO,RA
Antonio Souza,20320329020,15/01/1990,14/12/2010,Ciência da Computação,521677
Priscila Joana Cavalcanti,28263415888,09/03/1990,21/04/2013,Engenharia da Computação,244741
Clara Sophia Carvalho,68319322405,20/03/1993,23/07/2019,Ciência da Computação,594603
Simone Aparecida das Neves,51219610224,04/03/1980,22/07/2009,Ciência da Computação,111111
Yago Tiago Fernandes,60859711846,09/02/1986,22/05/2015,Ciência da Computação,686147
Thales Filipe da Mata,50125876505,15/03/1970,01/08/2013,Engenharia da Computação,184527
Francisco Sebastião Melo,78935588067,09/01/1974,14/10/2016,Engenharia da Computação,927009
Carla Isis Moreira,46433448305,06/05/1985,28/05/2019,Engenharia da Computação,665373
Tiago Silveira,38831215760,12/05/2002,27/09/2021,Ciência da Computação,578952
Davi Soarez de Souza,62028363509,03/06/2000,27/08/2020,Engenharia da Computação,445990
Sergio Miguel Peixoto,77633412038,10/03/1994,13/08/2017,Ciência da Computação,392023
Bruno Augusto Martins,52905014105,21/04/1984,08/08/2018,Engenharia da Computação,464685
Carlos Lorenzo Sencio,34737251887,07/05/1994,21/11/2016,Engenharia da Computação,280770
Lorena Nicole da Silva,61956405496,22/01/1999,21/01/2019,Ciência da Computação,617369
Lucca Rafael Bernardes,40167004344,11/02/1979,27/06/2001,Engenharia da Computação,225957
Giovanna Teixeira,60486709744,09/01/1995,14/03/2021,Ciência da Computação,821811
José Rodrigo Porto,58514884174,27/03/1979,16/10/2000,Ciência da Computação,326904
Laura Moura,87182559226,24/03/1981,13/09/2016,Engenharia da Computação,643482
Márcia Liz Elza Martins,12596012260,05/01/2002,12/02/2022,Ciência da Computação,647365
