NOME,CPF,DATA_NASCIMENTO,DATA_CADASTRO,CADASTRO
Luiz Danilo Souza,71031371885,09/06/1958,24/04/2003,658262
Antônia Julia Tânia Cavalcanti,22413897305,01/03/1973,27/11/2011,220889
João Hugo Teixeira,95808551102,04/03/1974,29/05/2011,683742
Cesar Baptista,89087255209,24/05/1992,24/05/2022,989842
Sophie Daiane Tânia Duarte,43008869629,14/01/1985,10/01/2015,250898
Vitor Mário Viana,89528607217,05/03/1953,02/09/2005,785984
Emanuelly Isabelly Rezende,83544359626,15/04/1962,14/05/2001,91858
Yago José da Luz,24280231010,09/03/1976,09/01/2002,440339
Otávio Mateus Ian Silva,74089886295,22/02/1988,21/05/2018,513651
Flávia Lívia Caldeira,82711417913,17/06/1963,24/02/1989,151595
Elza Adriana Costa,98931525770,06/03/1984,01/09/2011,718653
Iago Ryan Gustavo Almeida,80715517082,11/06/1948,06/07/1992,813131
Giovanni Sérgio da Silva,85114232819,21/02/1986,28/07/2014,644144
Kaique Davi Araújo,92744202770,20/02/1983,27/04/2010,233071
Catarina Vanessa Amanda Fernandes,35666881426,09/03/1979,16/06/2016,417539
Nina Louise da Rosa,50619842261,16/02/1984,20/01/2020,636551
Daniel Ryan Alves,42164462300,18/02/1970,03/01/2009,822316
Mateus Kauê Lucca Barbosa,63663860647,04/02/1974,01/10/2000,892436
Ana Barbara Moura,26336853829,02/01/1970,26/10/2017,230267
